icao,airport_name,city,state,country,airport_link,source_url,raw_image,cleaned_image,status,error,crop_bbox
KCDC,Cedar City Regional,Cedar City,UT,USA,https://acukwik.com/Airport-Info/KCDC,https://acukwik.com/extimages/Listing-Images/KCDC.jpg,runway_diagrams/raw/KCDC.jpg,runway_diagrams/cleaned/KCDC.jpg,ok,,"0,0,414,504"
KCDW,Essex County,Caldwell,NJ,USA,https://acukwik.com/Airport-Info/KCDW,https://acukwik.com/extimages/Listing-Images/KCDW.jpg,runway_diagrams/raw/KCDW.jpg,runway_diagrams/cleaned/KCDW.jpg,ok,,"0,0,414,432"
KCEF,Westover ARB/Westover Metropolitan,Chicopee,MA,USA,https://acukwik.com/Airport-Info/KCEF,https://acukwik.com/extimages/Listing-Images/KCEF.jpg,runway_diagrams/raw/KCEF.jpg,runway_diagrams/cleaned/KCEF.jpg,ok,,"0,0,575,575"
KCFO,Colorado Air & Space Port,Denver,CO,USA,https://acukwik.com/Airport-Info/KCFO,https://acukwik.com/extimages/Listing-Images/KCFO.jpg,runway_diagrams/raw/KCFO.jpg,runway_diagrams/cleaned/KCFO.jpg,ok,,"0,0,414,432"
KCGF,Cuyahoga County,Cleveland,OH,USA,https://acukwik.com/Airport-Info/KCGF,https://acukwik.com/extimages/Listing-Images/KCGF.jpg,runway_diagrams/raw/KCGF.jpg,runway_diagrams/cleaned/KCGF.jpg,ok,,"0,0,575,500"
KCGI,Cape Girardeau Regional,Cape Girardeau,MO,USA,https://acukwik.com/Airport-Info/KCGI,https://acukwik.com/extimages/Listing-Images/KCGI.jpg,runway_diagrams/raw/KCGI.jpg,runway_diagrams/cleaned/KCGI.jpg,ok,,"0,0,414,324"
KCHA,Lovell Field,Chattanooga,TN,USA,https://acukwik.com/Airport-Info/KCHA,https://acukwik.com/extimages/Listing-Images/KCHA.jpg,runway_diagrams/raw/KCHA.jpg,runway_diagrams/cleaned/KCHA.jpg,ok,,"0,0,575,600"
KCHO,Charlottesville Albemarle,Charlottesville,VA,USA,https://acukwik.com/Airport-Info/KCHO,https://acukwik.com/extimages/Listing-Images/KCHO.jpg,runway_diagrams/raw/KCHO.jpg,runway_diagrams/cleaned/KCHO.jpg,ok,,"0,0,414,378"
KCHS,Charleston International/AFB,Charleston,SC,USA,https://acukwik.com/Airport-Info/KCHS,https://acukwik.com/extimages/Listing-Images/KCHS.jpg,runway_diagrams/raw/KCHS.jpg,runway_diagrams/cleaned/KCHS.jpg,ok,,"0,0,575,725"
KCID,The Eastern Iowa,Cedar Rapids,IA,USA,https://acukwik.com/Airport-Info/KCID,https://acukwik.com/extimages/Listing-Images/KCID.jpg,runway_diagrams/raw/KCID.jpg,runway_diagrams/cleaned/KCID.jpg,ok,,"0,0,414,306"
KCLE,Cleveland/Hopkins International,Cleveland,OH,USA,https://acukwik.com/Airport-Info/KCLE,https://acukwik.com/extimages/Listing-Images/KCLE.jpg,runway_diagrams/raw/KCLE.jpg,runway_diagrams/cleaned/KCLE.jpg,ok,,"0,0,575,650"
KCLL,Easterwood Field,College Station,TX,USA,https://acukwik.com/Airport-Info/KCLL,https://acukwik.com/extimages/Listing-Images/KCLL.jpg,runway_diagrams/raw/KCLL.jpg,runway_diagrams/cleaned/KCLL.jpg,ok,,"0,0,414,432"
KCLT,Charlotte Douglas International,Charlotte,NC,USA,https://acukwik.com/Airport-Info/KCLT,https://acukwik.com/extimages/Listing-Images/KCLT.jpg,runway_diagrams/raw/KCLT.jpg,runway_diagrams/cleaned/KCLT.jpg,ok,,"0,0,575,650"
KCMA,Camarillo,Camarillo,CA,USA,https://acukwik.com/Airport-Info/KCMA,https://acukwik.com/extimages/Listing-Images/KCMA.jpg,runway_diagrams/raw/KCMA.jpg,runway_diagrams/cleaned/KCMA.jpg,ok,,"0,0,575,425"
KCMH,John Glenn International,Columbus,OH,USA,https://acukwik.com/Airport-Info/KCMH,https://acukwik.com/extimages/Listing-Images/KCMH.jpg,runway_diagrams/raw/KCMH.jpg,runway_diagrams/cleaned/KCMH.jpg,ok,,"0,0,575,650"
KCMI,University of Illinois/Willard,Champaign/Urbana,IL,USA,https://acukwik.com/Airport-Info/KCMI,https://acukwik.com/extimages/Listing-Images/KCMI.jpg,runway_diagrams/raw/KCMI.jpg,runway_diagrams/cleaned/KCMI.jpg,ok,,"0,0,575,650"
KCNO,Chino,Chino,CA,USA,https://acukwik.com/Airport-Info/KCNO,https://acukwik.com/extimages/Listing-Images/KCNO.jpg,runway_diagrams/raw/KCNO.jpg,runway_diagrams/cleaned/KCNO.jpg,ok,,"0,0,414,378"
KCOE,Coeur D'alene/Pappy Boyington Field,Coeur D'Alene,ID,USA,https://acukwik.com/Airport-Info/KCOE,https://acukwik.com/extimages/Listing-Images/KCOE.jpg,runway_diagrams/raw/KCOE.jpg,runway_diagrams/cleaned/KCOE.jpg,ok,,"0,0,575,450"
KCOS,City of Colorado Springs Municipal,Colorado Springs,CO,USA,https://acukwik.com/Airport-Info/KCOS,https://acukwik.com/extimages/Listing-Images/KCOS.jpg,runway_diagrams/raw/KCOS.jpg,runway_diagrams/cleaned/KCOS.jpg,ok,,"0,0,575,700"
